Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_018885085.1	ASM1888508v1	Clostridioides difficile		S-0253					GCF_018885085.1-RS_2024_12_13	Complete Genome	2021-06-15		2
GCF_001077535.1	ASM107753v2	Clostridioides difficile ATCC 9689 = DSM 1296		DSM 1296T					GCF_001077535.1-RS_2025_02_28	Complete Genome	2015-07-08		2
GCF_049244755.1	DSM29630_HGAP3_1SC	Clostridioides difficile		DSM 29630					GCF_049244755.1-RS_2025_04_03	Complete Genome	2025-04-04		1
GCF_018884965.1	ASM1888496v1	Clostridioides difficile		Cd6					GCF_018884965.1-RS_2025_02_28	Complete Genome	2021-06-15		1
GCF_049243115.1	DSM29695_HGAP3_1SC	Clostridioides difficile		DSM 29695					GCF_049243115.1-RS_2025_04_03	Complete Genome	2025-04-04		2
GCF_951803555.1	L-NTCD03	Clostridioides difficile					L-NTCD03		GCF_951803555.1-RS_2025_02_28	Complete Genome	2023-09-11		1
GCF_015238635.1	ASM1523863v1	Clostridioides difficile		ATCC 43255					GCF_015238635.1-RS_2025_02_28	Complete Genome	2020-11-05		1
GCF_003095675.1	ASM309567v1	Clostridioides difficile		CD161					GCF_003095675.1-RS_2025_03_03	Complete Genome	2018-05-06		3
GCF_022845595.1	ASM2284559v1	Clostridioides difficile		CE91-St50					GCF_022845595.1-RS_2025_02_28	Complete Genome	2022-02-04		1
GCF_000953275.1	CD630DERM	Clostridioides difficile		630Derm					GCF_000953275.1-RS_2025_02_28	Complete Genome	2014-12-16		1
GCF_002080065.1	ASM208006v1	Clostridioides difficile		630 delta erm					GCF_002080065.1-RS_2025_02_28	Complete Genome	2017-04-05		2
GCF_024972555.1	ASM2497255v1	Clostridioides difficile		CD060					GCF_024972555.1-RS_2025_02_28	Complete Genome	2022-09-06		2
GCF_037923795.1	ASM3792379v1	Clostridioides difficile		Z1322HCD0116					GCF_037923795.1-RS_2025_04_08	Complete Genome	2024-04-05		2
GCF_049201125.1	DSM29697_HGAP3_2SC	Clostridioides difficile		DSM 29697					GCF_049201125.1-RS_2025_04_02	Complete Genome	2025-04-03		3
GCF_003313565.1	ASM331356v1	Clostridioides difficile		DSM 27639					GCF_003313565.1-RS_2025_02_28	Complete Genome	2018-07-11		1
GCF_037920665.1	ASM3792066v1	Clostridioides difficile		Z1322PCD0028					GCF_037920665.1-RS_2025_04_17	Complete Genome	2024-04-06		3
GCF_049201135.1	DSM29696_HGAP3_2SC	Clostridioides difficile		DSM 29696					GCF_049201135.1-RS_2025_04_02	Complete Genome	2025-04-03		3
GCF_049242515.1	DSM29646_HGAP3_1SC	Clostridioides difficile		DSM 29646					GCF_049242515.1-RS_2025_04_03	Complete Genome	2025-04-04		3
GCF_018885045.1	ASM1888504v1	Clostridioides difficile		Cd1					GCF_018885045.1-RS_2025_02_28	Complete Genome	2021-06-15		4
GCF_015352155.2	ASM1535215v2	Clostridioides difficile		CDI-01					GCF_015352155.2-RS_2025_02_28	Complete Genome	2023-06-01		1
GCF_037915445.1	ASM3791544v1	Clostridioides difficile		Z1323HCD0020					GCF_037915445.1-RS_2025_04_10	Complete Genome	2024-04-05		1
GCF_024972275.1	ASM2497227v1	Clostridioides difficile		CD099					GCF_024972275.1-RS_2025_02_28	Complete Genome	2022-09-06		2
GCF_049244735.1	DSM29628_HGAP3_1SC	Clostridioides difficile		DSM 29628					GCF_049244735.1-RS_2025_04_03	Complete Genome	2025-04-04		1
GCF_003457015.1	ASM345701v1	Clostridioides difficile		DSM 102860					GCF_003457015.1-RS_2025_03_07	Complete Genome	2018-09-05		1
GCF_003457035.1	ASM345703v1	Clostridioides difficile		DSM 102978					GCF_003457035.1-RS_2025_03_07	Complete Genome	2018-09-05		1
GCF_963426535.1	L-TCD-01	Clostridioides difficile		L-TCD-01					GCF_963426535.1-RS_2025_02_28	Complete Genome	2023-09-11		1
GCF_018885065.1	ASM1888506v1	Clostridioides difficile		S-0352					GCF_018885065.1-RS_2025_02_28	Complete Genome	2021-06-15		1
GCF_049243065.1	DSM29648_HGAP3_1SC	Clostridioides difficile		DSM 29648					GCF_049243065.1-RS_2025_04_03	Complete Genome	2025-04-04		2
GCF_037934445.1	ASM3793444v1	Clostridioides difficile		Z1322HCD0033					GCF_037934445.1-RS_2025_04_08	Complete Genome	2024-04-06		3
